user_id,month,total_expense,avg_expense,transactions
1,2025-01,204208.24,2521.0893827160494,81
1,2025-02,231844.56,2250.9180582524273,103
1,2025-03,281689.16,2657.444905660377,106
1,2025-04,268976.92,2513.8029906542056,107
1,2025-05,217020.3,2553.18,85
1,2025-06,247662.79,2527.1713265306125,98
1,2025-07,232946.49,2377.005,98
1,2025-08,264251.67,2565.550194174757,103
1,2025-09,244654.24,2471.2549494949494,99
1,2025-10,260059.03,2766.585425531915,94
1,2025-11,7327.030000000001,3663.5150000000003,2
2,2025-01,301102.94,2595.715,116
2,2025-02,270946.28,2630.5464077669903,103
2,2025-03,266972.75,2591.9684466019417,103
2,2025-04,237222.64,2523.645106382979,94
2,2025-05,321889.56,2953.115229357798,109
2,2025-06,255130.34,2577.074141414141,99
2,2025-07,268142.45,2415.697747747748,111
2,2025-08,243571.05,2563.9057894736843,95
2,2025-09,274836.08,2617.4864761904764,105
2,2025-10,260592.19,2802.066559139785,93
2,2025-11,5743.49,2871.745,2
3,2025-01,244874.55,2524.4798969072162,97
3,2025-02,245376.73,2453.7673,100
3,2025-03,251718.13,2622.0638541666667,96
3,2025-04,241665.21,2543.8443157894735,95
3,2025-05,200515.24,2304.772873563218,87
3,2025-06,230051.64,2190.9680000000003,105
3,2025-07,247763.38,2429.0527450980394,102
3,2025-08,189411.57,2282.067108433735,83
3,2025-09,293235.92,2618.177857142857,112
3,2025-10,220559.62,2250.608367346939,98
3,2025-11,4254.55,1418.1833333333334,3
4,2025-01,237650.59,2450.006082474227,97
4,2025-02,212024.73,2208.5909375,96
4,2025-03,218526.52,2428.0724444444445,90
4,2025-04,249390.63999999998,2597.8191666666667,96
4,2025-05,246691.06,2491.8288888888887,99
4,2025-06,235878.39,2382.61,99
4,2025-07,250923.04,2560.4391836734694,98
4,2025-08,237405.18,2580.4910869565215,92
4,2025-09,218912.6,2189.126,100
4,2025-10,291141.17,2553.8699122807016,114
4,2025-11,11623.800000000001,2324.76,5
5,2025-01,264022.62,2640.2262,100
5,2025-02,184821.17,2400.274935064935,77
5,2025-03,259059.72,2698.53875,96
5,2025-04,231515.09,2630.8532954545453,88
5,2025-05,311593.18,2757.4617699115042,113
5,2025-06,241730.55,2518.0265624999997,96
5,2025-07,282192.54,2662.1937735849056,106
5,2025-08,217322.0,2414.688888888889,90
5,2025-09,260593.13,2390.762660550459,109
5,2025-10,202303.84,2352.3702325581394,86
5,2025-11,2956.84,1478.42,2
6,2025-01,245616.52,2480.974949494949,99
6,2025-02,233361.6,2564.4131868131867,91
6,2025-03,274023.27999999997,2537.2525925925925,108
6,2025-04,236700.74,2601.107032967033,91
6,2025-05,264124.52,2539.6588461538463,104
6,2025-06,252985.17,2386.6525471698114,106
6,2025-07,276776.1,2406.748695652174,115
6,2025-08,296299.93,2669.3687387387386,111
6,2025-09,262030.39,2360.634144144144,111
6,2025-10,249475.2,2445.835294117647,102
6,2025-11,531.95,531.95,1
7,2025-01,259698.73,2546.065980392157,102
7,2025-02,225727.34,2536.2622471910113,89
7,2025-03,258511.73,2485.689711538462,104
7,2025-04,213297.12,2480.199069767442,86
7,2025-05,290782.26,2619.6600000000003,111
7,2025-06,246397.18,2566.6372916666664,96
7,2025-07,255660.14,2582.4256565656565,99
7,2025-08,285056.67,2664.081028037383,107
7,2025-09,230558.85,2452.753723404255,94
7,2025-10,302134.4,2746.676363636364,110
7,2025-11,4846.76,2423.38,2
8,2025-01,276400.78,2583.1848598130846,107
8,2025-02,239680.75,2577.212365591398,93
8,2025-03,250642.42,2410.0232692307695,104
8,2025-04,278699.79,2580.553611111111,108
8,2025-05,240056.11000000002,2637.979230769231,91
8,2025-06,259230.13,2672.4755670103095,97
8,2025-07,305724.57,2445.79656,125
8,2025-08,235865.96,2456.9370833333332,96
8,2025-09,262495.15,2706.1355670103094,97
8,2025-10,258060.47,2457.718761904762,105
8,2025-11,4890.21,2445.105,2
9,2025-01,293919.53,2578.2414912280706,114
9,2025-02,231428.57,2788.2960240963857,83
9,2025-03,235694.68,2480.9966315789475,95
9,2025-04,229195.1,2269.2584158415843,101
9,2025-05,236812.9,2277.047115384615,104
9,2025-06,197934.74,2356.3659523809524,84
9,2025-07,204390.04,2221.6308695652174,92
9,2025-08,242387.25,2606.314516129032,93
9,2025-09,285201.04,2480.0090434782605,115
9,2025-10,267418.09,2476.093425925926,108
9,2025-11,9706.2,3235.4,3
10,2025-01,287296.16,2565.1442857142856,112
10,2025-02,229873.84,2672.9516279069767,86
10,2025-03,296961.02,2675.3245045045046,111
10,2025-04,272773.77,2573.337452830189,106
10,2025-05,232863.34,2503.90688172043,93
10,2025-06,239828.72,2241.389906542056,107
10,2025-07,254699.31,2572.720303030303,99
10,2025-08,216463.51,2432.1742696629212,89
10,2025-09,243159.62,2701.7735555555555,90
10,2025-10,275152.89,2331.804152542373,118
